COMMUNE_CODE,Diesel,Diesel HNR,Electrique et hydrogène,Essence,Essence HNR,Gaz et inconnu,Hybride rechargeable,part_essence,part_diesel,part_electrique,carburant_dominant
01194,1959.0,8.0,28.0,1713.0,75.0,32.0,24.0,44.62099505079448,51.028913779630116,0.7293566032821047,diesel
01195,617.0,2.0,10.0,538.0,21.0,7.0,10.0,44.64730290456432,51.203319502074685,0.8298755186721992,diesel
01196,518.0,6.0,5.0,272.0,8.0,4.0,3.0,33.33333333333333,63.48039215686274,0.6127450980392157,diesel
01197,148.0,0.0,2.0,112.0,2.0,3.0,1.0,41.7910447761194,55.223880597014926,0.7462686567164178,diesel
01198,112.0,0.0,1.0,62.0,6.0,0.0,0.0,34.25414364640884,61.87845303867403,0.5524861878453038,diesel
01199,800.0,6.0,13.0,501.0,21.0,7.0,5.0,37.028824833702885,59.12786400591279,0.9608277900960829,diesel
01200,106.0,3.0,0.0,46.0,4.0,0.0,1.0,28.749999999999996,66.25,0.0,diesel
01202,2733.0,13.0,53.0,1810.0,89.0,15.0,22.0,38.2259767687434,57.71911298838437,1.1193241816261879,diesel
01203,522.0,4.0,7.0,323.0,10.0,7.0,2.0,36.91428571428572,59.65714285714285,0.8,diesel
01204,287.0,1.0,5.0,179.0,6.0,4.0,2.0,36.98347107438016,59.29752066115702,1.0330578512396695,diesel
01206,105.0,0.0,0.0,81.0,4.0,1.0,4.0,41.53846153846154,53.84615384615385,0.0,diesel
01207,135.0,0.0,4.0,76.0,1.0,0.0,2.0,34.862385321100916,61.92660550458715,1.834862385321101,diesel
01208,54.0,0.0,0.0,47.0,0.0,0.0,0.0,46.53465346534654,53.46534653465347,0.0,diesel
01209,308.0,2.0,7.0,206.0,7.0,0.0,7.0,38.361266294227185,57.35567970204841,1.303538175046555,diesel
01210,96.0,1.0,2.0,73.0,2.0,0.0,2.0,41.47727272727273,54.54545454545454,1.1363636363636365,diesel
01211,535.0,3.0,10.0,377.0,26.0,7.0,2.0,39.270833333333336,55.729166666666664,1.0416666666666665,diesel
01212,301.0,1.0,2.0,139.0,7.0,4.0,1.0,30.54945054945055,66.15384615384615,0.43956043956043955,diesel
01213,542.0,2.0,8.0,321.0,16.0,2.0,5.0,35.825892857142854,60.49107142857143,0.8928571428571428,diesel
01214,65.0,0.0,0.0,40.0,1.0,1.0,1.0,37.03703703703704,60.18518518518518,0.0,diesel
01215,56.0,0.0,1.0,41.0,0.0,0.0,0.0,41.83673469387755,57.14285714285714,1.0204081632653061,diesel
01216,358.0,1.0,5.0,205.0,9.0,1.0,6.0,35.04273504273504,61.1965811965812,0.8547008547008548,diesel
01219,72.0,0.0,0.0,28.0,1.0,1.0,0.0,27.450980392156865,70.58823529411765,0.0,diesel
01224,1330.0,8.0,18.0,676.0,25.0,9.0,13.0,32.51563251563251,63.97306397306397,0.8658008658008658,diesel
01225,159.0,2.0,4.0,113.0,4.0,1.0,0.0,39.92932862190813,56.18374558303887,1.4134275618374559,diesel
01227,254.0,7.0,5.0,172.0,1.0,0.0,1.0,39.09090909090909,57.72727272727273,1.1363636363636365,diesel
01228,279.0,4.0,5.0,148.0,13.0,2.0,1.0,32.743362831858406,61.72566371681416,1.1061946902654867,diesel
01229,467.0,5.0,7.0,317.0,16.0,2.0,5.0,38.70573870573871,57.02075702075702,0.8547008547008548,diesel
01230,139.0,2.0,1.0,78.0,3.0,0.0,2.0,34.66666666666667,61.77777777777778,0.4444444444444444,diesel
01231,825.0,8.0,8.0,504.0,15.0,2.0,5.0,36.86905632772495,60.35113386978785,0.5852231163130944,diesel
01232,926.0,5.0,9.0,550.0,16.0,5.0,3.0,36.327608982826945,61.16248348745046,0.59445178335535,diesel
01233,60.0,1.0,0.0,33.0,1.0,0.0,0.0,34.73684210526316,63.1578947368421,0.0,diesel
01234,74.0,2.0,0.0,50.0,3.0,0.0,1.0,38.46153846153847,56.92307692307692,0.0,diesel
01235,431.0,2.0,2.0,226.0,9.0,1.0,2.0,33.58098068350668,64.04160475482912,0.2971768202080238,diesel
01236,434.0,1.0,8.0,206.0,3.0,4.0,5.0,31.164901664145233,65.65809379727685,1.2102874432677762,diesel
01237,738.0,4.0,3.0,476.0,29.0,9.0,14.0,37.39198743126473,57.9732914375491,0.2356637863315004,diesel
01238,913.0,9.0,25.0,790.0,47.0,5.0,14.0,43.81586245146977,50.637825845812536,1.386577925679423,diesel
01239,246.0,2.0,7.0,166.0,6.0,2.0,1.0,38.604651162790695,57.20930232558139,1.627906976744186,diesel
01240,273.0,2.0,4.0,172.0,2.0,6.0,1.0,37.391304347826086,59.34782608695652,0.8695652173913043,diesel
01241,486.0,2.0,6.0,442.0,11.0,7.0,6.0,46.041666666666664,50.625,0.625,diesel
01242,40.0,0.0,0.0,26.0,1.0,0.0,1.0,38.23529411764706,58.82352941176471,0.0,diesel
01243,476.0,1.0,13.0,374.0,9.0,5.0,5.0,42.355605889014726,53.907134767836915,1.4722536806342015,diesel
01244,2712.0,11.0,68.0,1938.0,82.0,25.0,32.0,39.811010682004934,55.71076417419884,1.3968775677896468,diesel
01245,381.0,3.0,10.0,203.0,12.0,4.0,5.0,32.847896440129446,61.6504854368932,1.6181229773462782,diesel
01246,877.0,3.0,12.0,504.0,33.0,5.0,7.0,34.97571131158917,60.86051353226926,0.8327550312283136,diesel
01247,146.0,1.0,2.0,80.0,10.0,1.0,1.0,33.19502074688796,60.58091286307054,0.8298755186721992,diesel
01248,735.0,3.0,23.0,744.0,30.0,2.0,11.0,48.06201550387597,47.480620155038764,1.4857881136950903,essence
01249,3051.0,26.0,95.0,2679.0,110.0,38.0,49.0,44.29563492063492,50.44642857142857,1.5707671957671958,diesel
01250,643.0,0.0,16.0,511.0,25.0,6.0,7.0,42.301324503311264,53.22847682119205,1.3245033112582782,diesel
01252,303.0,1.0,5.0,188.0,11.0,1.0,1.0,36.86274509803922,59.411764705882355,0.9803921568627451,diesel
01254,797.0,7.0,21.0,673.0,62.0,4.0,20.0,42.48737373737374,50.31565656565656,1.3257575757575757,diesel
01255,249.0,1.0,4.0,159.0,6.0,0.0,0.0,37.94749403341289,59.427207637231504,0.9546539379474941,diesel
01257,163.0,0.0,0.0,87.0,2.0,0.0,0.0,34.523809523809526,64.68253968253968,0.0,diesel
01258,476.0,1.0,14.0,307.0,6.0,8.0,8.0,37.4390243902439,58.048780487804876,1.707317073170732,diesel
01259,289.0,0.0,10.0,167.0,4.0,3.0,0.0,35.30655391120507,61.09936575052855,2.1141649048625792,diesel
01260,121.0,0.0,3.0,82.0,2.0,1.0,2.0,38.862559241706165,57.345971563981045,1.4218009478672986,diesel
01261,272.0,4.0,4.0,159.0,9.0,1.0,3.0,35.176991150442475,60.17699115044248,0.8849557522123894,diesel
01262,2479.0,35.0,45.0,1544.0,118.0,22.0,17.0,36.24413145539906,58.1924882629108,1.056338028169014,diesel
01263,1329.0,11.0,26.0,1047.0,49.0,7.0,10.0,42.23477208551835,53.610326744655104,1.0488100040338848,diesel
01264,387.0,1.0,6.0,273.0,11.0,3.0,1.0,40.029325513196476,56.74486803519062,0.8797653958944283,diesel
01265,1400.0,8.0,13.0,808.0,26.0,5.0,10.0,35.59471365638767,61.67400881057269,0.5726872246696035,diesel
01266,946.0,5.0,14.0,747.0,25.0,9.0,9.0,42.56410256410256,53.903133903133906,0.7977207977207977,diesel
01267,385.0,2.0,7.0,294.0,11.0,1.0,8.0,41.52542372881356,54.378531073446325,0.9887005649717515,diesel
01268,95.0,0.0,2.0,56.0,2.0,0.0,0.0,36.12903225806451,61.29032258064516,1.2903225806451613,diesel
01269,1065.0,5.0,4.0,645.0,18.0,9.0,7.0,36.79406731317741,60.752994865944096,0.22818026240730174,diesel
